Type,Component name,Product description,Shop / Manufacturer,Local,URL,Unit price,Shipping,Product Amount,Product Total (excluding shipping),Product Total (with shipping)
,M5x16 Screw,"Screw diameter = 5mm, length = 16mm",Already have,,N/A,0,0,6,0,0
,M5x36 Screw,"Screw diameter = 5mm, length = 36mm",Already have,,N/A,0,0,4,0,0
,M5x50 Screw,"Screw diameter = 5mm, length = 50mm",Already have,,N/A,0,0,6,0,0
,M6x20 Screw,"Screw diameter = 6mm, length = 20mm",Already have,,N/A,0,0,4,0,0
,M10x16 Screw,"Screw diameter = 10mm, length = 16mm",Already have,,N/A,0,0,2,0,0
,M3 Nut,Nut diameter = 3mm,Already have,,N/A,0,0,4,0,0
,M10 Nut,Nut diameter = 10mm,Already have,,N/A,0,0,2,0,0
,M3 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 3mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,4,"0,4","0,4"
,M4 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 4mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,8,"0,8","0,8"
,M5 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 5mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,4,"0,4","0,4"
,M6 Aluminium Profile Nut,"Nut for aluminium profiles, diameter = 6mm",Seli,Yes,https://seli.tn/product/ecrou-marteau/,"0,1",0,4,"0,4","0,4"
,Table clamps (x2),Used to mount the wheelbase on the table,Aliexpress,No,https://ar.aliexpress.com/item/1005006458478718.html,"47,8","8,28",1,"47,8","56,08"
,Hoverboard motor,Used to provide force feedback,Facebook Marketplace,Yes,N/A,19,0,1,19,19
,TOTAL,,,,,,,,"450,31","553,27"
PCB,Wheelbase PCB,Holds the various electronic components without the need for wiring,JLC PCB,No,N/A,2,"21,91",1,2,"21,91"
Aluminium machined parts,Front plate,,JLC CNC,No,N/A,"8,72","49,48",1,"8,72","72,77"
,Back plate,,JLC CNC,No,N/A,"10,63",,1,"10,63",
,Paddle (x2),,JLC CNC,No,N/A,"3,94",,1,"3,94",
GRAND TOTAL,,,,,,,,,"475,6","647,95"
